,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_month,journey_day,journey_dow,dep_hour,arr_hour,duration_mins,n_stops,has_meal,no_checkin,business_cls,red_eye,dep_period,is_weekend
0,Jet Airways,2019-06-09,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882.0,6.0,9.0,6.0,9.0,4.0,1140.0,2.0,0,0,0,0,Morning,1
1,IndiGo,2019-05-12,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218.0,5.0,12.0,6.0,18.0,23.0,325.0,1.0,0,0,0,0,Evening,1
2,IndiGo,2019-03-01,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302.0,3.0,1.0,4.0,16.0,21.0,285.0,1.0,0,0,0,0,Afternoon,0
3,SpiceJet,2019-06-24,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873.0,6.0,24.0,0.0,9.0,11.0,145.0,0.0,0,0,0,0,Morning,0
4,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087.0,3.0,12.0,1.0,18.0,10.0,930.0,1.0,1,0,0,0,Evening,0
5,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270.0,3.0,1.0,4.0,8.0,5.0,1265.0,1.0,0,0,0,0,Morning,0
6,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087.0,3.0,12.0,1.0,8.0,10.0,1530.0,1.0,1,0,0,0,Morning,0
7,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625.0,5.0,27.0,0.0,11.0,19.0,470.0,1.0,0,0,0,0,Morning,0
8,Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907.0,6.0,1.0,5.0,9.0,23.0,795.0,1.0,0,0,0,0,Morning,1
9,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174.0,4.0,18.0,3.0,20.0,22.0,155.0,0.0,0,0,0,0,Evening,0
10,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0,6.0,24.0,0.0,11.0,13.0,135.0,0.0,0,0,0,0,Morning,0
11,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663.0,5.0,9.0,3.0,21.0,9.0,730.0,1.0,1,0,0,0,Night,0
12,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804.0,4.0,24.0,2.0,17.0,19.0,155.0,0.0,0,0,0,0,Evening,0
13,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011.0,3.0,3.0,6.0,16.0,19.0,1595.0,2.0,0,0,0,0,Afternoon,1
14,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830.0,4.0,15.0,0.0,8.0,13.0,270.0,1.0,0,0,0,0,Morning,0
15,Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262.0,6.0,12.0,2.0,14.0,12.0,1355.0,1.0,1,0,0,0,Afternoon,0
16,Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381.0,6.0,12.0,2.0,20.0,19.0,1380.0,2.0,0,0,0,0,Evening,0
17,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898.0,5.0,27.0,0.0,16.0,12.0,1235.0,1.0,1,0,0,0,Afternoon,0
18,GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,,19495.0,3.0,6.0,2.0,14.0,19.0,310.0,1.0,0,0,0,0,Afternoon,0
19,Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955.0,3.0,21.0,3.0,22.0,13.0,920.0,1.0,0,0,0,0,Night,0
20,IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,4.0,3.0,2.0,4.0,6.0,170.0,0.0,0,0,0,0,Night,0
21,IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0,5.0,1.0,2.0,18.0,21.0,175.0,0.0,0,0,0,0,Evening,0
22,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757.0,5.0,6.0,0.0,18.0,8.0,800.0,1.0,1,0,0,0,Evening,0
23,Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292.0,6.0,9.0,6.0,21.0,12.0,910.0,2.0,0,0,0,0,Night,1
24,IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238.0,6.0,1.0,5.0,21.0,3.0,345.0,1.0,0,0,0,0,Night,1
25,GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682.0,5.0,15.0,2.0,7.0,12.0,355.0,1.0,0,0,0,0,Morning,0
26,Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668.0,6.0,18.0,1.0,9.0,12.0,170.0,0.0,0,0,0,0,Morning,0
27,Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,6.0,15.0,5.0,7.0,9.0,135.0,0.0,0,0,0,0,Morning,1
28,Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,6.0,18.0,1.0,7.0,9.0,135.0,0.0,0,0,0,0,Morning,0
29,Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227.0,5.0,1.0,2.0,9.0,23.0,805.0,2.0,0,0,0,0,Morning,0
30,IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423.0,4.0,6.0,5.0,4.0,6.0,170.0,0.0,0,0,0,0,Night,1
31,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919.0,6.0,15.0,5.0,14.0,12.0,1320.0,2.0,1,0,0,0,Afternoon,1
32,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373.0,5.0,18.0,5.0,7.0,12.0,330.0,1.0,1,0,0,0,Morning,1
33,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894.0,6.0,27.0,3.0,10.0,21.0,625.0,1.0,0,0,0,0,Morning,0
34,SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649.0,5.0,21.0,1.0,15.0,20.0,315.0,1.0,0,0,0,0,Afternoon,0
36,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225.0,3.0,6.0,2.0,7.0,13.0,375.0,1.0,0,0,0,0,Morning,0
37,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924.0,6.0,3.0,0.0,7.0,19.0,715.0,1.0,0,0,0,0,Morning,0
38,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,,9646.0,5.0,21.0,1.0,7.0,18.0,665.0,1.0,0,0,0,0,Morning,0
39,Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714.0,3.0,15.0,4.0,6.0,15.0,510.0,1.0,0,0,0,0,Morning,0
40,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373.0,5.0,18.0,5.0,20.0,19.0,1325.0,1.0,1,0,0,0,Evening,1
41,Air Asia,,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383.0,5.0,12.0,3.0,11.0,13.0,165.0,0.0,0,0,0,0,Morning,0
42,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062.0,3.0,21.0,3.0,9.0,21.0,720.0,1.0,0,0,0,0,Morning,0
44,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,5.0,27.0,0.0,4.0,6.0,170.0,0.0,0,0,0,0,Night,0
45,Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0,5.0,3.0,4.0,11.0,13.0,135.0,0.0,0,0,0,0,Morning,0
46,Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117.0,5.0,15.0,2.0,19.0,11.0,965.0,1.0,0,0,0,0,Evening,0
47,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150.0,6.0,27.0,3.0,23.0,19.0,1195.0,2.0,1,0,0,0,Night,0
48,Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202.0,3.0,9.0,5.0,11.0,14.0,195.0,0.0,1,0,0,0,Morning,1
49,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121.0,5.0,1.0,2.0,9.0,10.0,1520.0,1.0,0,0,0,0,Morning,0
50,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377.0,3.0,24.0,6.0,22.0,1.0,170.0,0.0,0,0,0,0,Night,1
51,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943.0,6.0,18.0,1.0,21.0,0.0,180.0,0.0,0,0,0,0,Night,0
52,Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483.0,4.0,3.0,2.0,23.0,2.0,170.0,0.0,0,0,0,0,Night,0
53,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231.0,3.0,24.0,6.0,19.0,12.0,975.0,1.0,0,0,0,0,Evening,1
54,Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345.0,3.0,1.0,4.0,8.0,23.0,905.0,2.0,0,0,0,0,Morning,0
55,Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414.0,3.0,6.0,2.0,7.0,9.0,135.0,0.0,0,0,0,0,Morning,0
56,Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073.0,5.0,6.0,0.0,19.0,1.0,390.0,1.0,0,0,0,0,Evening,0
57,Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395.0,3.0,6.0,2.0,15.0,16.0,1505.0,1.0,0,0,0,0,Afternoon,0
59,Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117.0,4.0,3.0,2.0,6.0,9.0,1640.0,1.0,0,0,0,0,Morning,0
61,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191.0,5.0,15.0,2.0,15.0,1.0,630.0,1.0,0,0,0,0,Afternoon,0
62,Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,5.0,24.0,4.0,7.0,9.0,135.0,0.0,0,0,0,0,Morning,0
63,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894.0,6.0,24.0,0.0,10.0,21.0,625.0,1.0,0,0,0,0,Morning,0
64,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403.0,4.0,24.0,2.0,9.0,12.0,170.0,0.0,0,0,0,0,Morning,0
65,Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625.0,5.0,6.0,0.0,13.0,15.0,90.0,0.0,0,0,0,0,Afternoon,0
66,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861.0,5.0,21.0,1.0,5.0,19.0,800.0,2.0,0,0,0,0,Morning,0
68,Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,5678.0,6.0,1.0,5.0,7.0,8.0,85.0,0.0,0,0,0,0,Morning,1
69,Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134.0,3.0,9.0,5.0,5.0,8.0,1590.0,1.0,1,0,0,0,Morning,1
70,Multiple carriers,2019-06-24,Delhi,Cochin,,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791.0,6.0,24.0,0.0,11.0,19.0,440.0,1.0,1,0,0,0,Morning,0
71,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819.0,6.0,24.0,0.0,23.0,12.0,810.0,2.0,0,0,0,0,Night,0
73,Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,7240.0,3.0,9.0,5.0,9.0,12.0,165.0,0.0,0,0,0,0,Morning,1
75,IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049.0,4.0,3.0,2.0,6.0,7.0,90.0,0.0,0,0,0,0,Morning,0
77,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332.0,3.0,21.0,3.0,8.0,10.0,135.0,0.0,0,1,0,0,Morning,0
78,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,,10844.0,6.0,9.0,6.0,21.0,12.0,890.0,1.0,0,0,0,0,Night,1
79,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229.0,3.0,24.0,6.0,19.0,22.0,160.0,0.0,0,0,0,0,Evening,1
80,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941.0,5.0,6.0,0.0,6.0,4.0,1330.0,1.0,0,0,0,0,Morning,0
81,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894.0,6.0,27.0,3.0,11.0,21.0,575.0,1.0,0,0,0,0,Morning,0
82,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197.0,5.0,18.0,5.0,9.0,19.0,600.0,1.0,0,0,0,0,Morning,1
83,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712.0,3.0,6.0,2.0,14.0,11.0,1280.0,1.0,1,0,0,0,Afternoon,0
84,IndiGo,,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636.0,5.0,12.0,3.0,2.0,7.0,325.0,1.0,0,0,0,0,Night,0
85,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014.0,6.0,6.0,3.0,9.0,4.0,1125.0,2.0,0,0,0,0,Morning,0
88,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646.0,5.0,27.0,0.0,13.0,22.0,555.0,1.0,0,0,0,0,Afternoon,0
90,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817.0,3.0,12.0,1.0,16.0,10.0,1050.0,1.0,0,0,0,0,Afternoon,0
91,Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748.0,3.0,6.0,2.0,5.0,19.0,800.0,2.0,0,0,0,0,Morning,0
92,Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880.0,4.0,21.0,6.0,20.0,23.0,155.0,0.0,0,0,0,0,Evening,1
93,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,6.0,21.0,4.0,5.0,7.0,145.0,0.0,0,0,0,0,Morning,0
94,SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257.0,5.0,15.0,2.0,5.0,8.0,160.0,0.0,0,1,0,0,Morning,0
95,Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478.0,6.0,3.0,0.0,19.0,22.0,180.0,0.0,1,0,0,0,Evening,0
96,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040.0,6.0,18.0,1.0,7.0,8.0,85.0,0.0,0,0,0,0,Morning,0
97,Jet Airways,2019-06-12,Delhi,Cochin,,20:00,,16h 35m,2 stops,No info,14300.0,6.0,12.0,2.0,20.0,13.0,995.0,2.0,0,0,0,0,Evening,0
100,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262.0,6.0,24.0,0.0,20.0,4.0,450.0,1.0,1,0,0,0,Evening,0
102,Air India,2019-05-01,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121.0,5.0,1.0,2.0,6.0,8.0,165.0,0.0,0,0,0,0,Morning,0
103,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029.0,5.0,18.0,5.0,19.0,4.0,535.0,2.0,1,0,0,0,Evening,1
104,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421.0,3.0,27.0,2.0,11.0,18.0,430.0,1.0,0,0,0,0,Morning,0
105,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574.0,3.0,27.0,2.0,4.0,19.0,870.0,1.0,0,0,0,0,Night,0
106,Air India,2019-05-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596.0,5.0,9.0,3.0,12.0,19.0,1820.0,2.0,0,0,0,0,Afternoon,0
107,Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129.0,5.0,24.0,4.0,23.0,19.0,1195.0,2.0,0,0,0,0,Night,0
108,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555.0,3.0,18.0,0.0,14.0,5.0,900.0,1.0,0,0,0,0,Afternoon,0
110,Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397.0,5.0,12.0,6.0,20.0,9.0,765.0,1.0,0,0,0,0,Evening,1
111,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024.0,3.0,6.0,2.0,18.0,4.0,610.0,1.0,0,0,0,0,Evening,0
